kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
7132798,K00220.02,CONFIRMED,4.12511935,2.877,114.7,0.88,21.6,5598.0,4.565,0.83,planet_transit
2307415,K02053.01,CONFIRMED,13.12162167,3.6138,196.9,1.99,32.7,6140.0,4.265,1.277,planet_transit
7430034,K01848.01,CONFIRMED,49.6220669,7.222,505.5,3.33,47.6,5938.0,4.331,1.184,planet_transit
9735426,K01849.01,CONFIRMED,8.08801663,1.8334,952.9,2.94,46.1,5269.0,4.494,0.874,planet_transit
8826168,K01850.01,CONFIRMED,11.55103848,3.3601,402.8,2.17,49.8,5907.0,4.395,1.058,planet_transit
10464050,K01851.01,CONFIRMED,4.469754641,1.813,553.9,2.26,37.1,5988.0,4.507,0.934,planet_transit
9763348,K01852.01,CONFIRMED,15.77382794,4.957,313.6,2.72,30.4,6283.0,4.129,1.531,planet_transit
9101496,K01915.01,CONFIRMED,6.56226483,4.0144,260.8,3.07,41.2,5878.0,4.005,1.812,planet_transit
6037581,K01916.01,CONFIRMED,20.67876365,4.6395,323.9,2.42,42.6,5865.0,4.266,1.272,planet_transit
10723750,K00209.01,CONFIRMED,50.79034648,10.8474,5671.1,10.6,508.8,6163.0,4.185,1.406,planet_transit
6037581,K01916.02,CONFIRMED,9.59993246,4.3206,271.2,2.08,52.0,5865.0,4.266,1.272,planet_transit
6037581,K01916.03,CONFIRMED,2.0248205,2.55,63.3,1.01,20.2,5865.0,4.266,1.272,planet_transit
10779233,K01989.01,CONFIRMED,201.118319,10.328,584.8,2.28,34.7,5646.0,4.447,0.954,planet_transit
11614617,K01990.01,CONFIRMED,24.7577652,6.998,458.7,2.44,37.6,6106.0,4.487,0.966,planet_transit
11450414,K01992.01,CONFIRMED,12.7983174,6.401,336.6,2.88,38.2,5592.0,4.115,1.451,planet_transit
4736569,K01996.01,CONFIRMED,10.13200555,3.1683,911.6,1.67,37.6,4777.0,4.689,0.561,planet_transit
10384798,K01997.01,CONFIRMED,38.505224,5.941,695.2,2.45,35.5,5974.0,4.504,0.881,planet_transit
2307415,K02053.02,CONFIRMED,4.6126736,3.0643,133.2,1.6,34.3,6140.0,4.265,1.277,planet_transit
3128552,K02055.01,CONFIRMED,8.67890312,3.5317,540.6,2.56,37.4,5509.0,4.308,1.116,planet_transit
10134152,K02056.01,CONFIRMED,39.3135699,5.0137,500.1,2.07,33.8,6060.0,4.509,0.925,planet_transit
9573685,K02057.01,CONFIRMED,5.94565516,2.1604,401.2,1.12,28.5,3974.0,4.7,0.564,planet_transit
10329835,K02058.01,CONFIRMED,1.52373073,1.4796,364.7,1.26,34.1,3746.0,4.736,0.51,planet_transit
6849046,K00201.01,CONFIRMED,4.225384543,2.82038,7563.0,9.0,1457.8,5574.0,4.403,1.054,planet_transit
8804397,K01853.01,CONFIRMED,60.0853848,7.007,432.2,2.4,51.7,6028.0,4.459,1.047,planet_transit
9662811,K01854.01,CONFIRMED,43.0343364,6.571,541.6,2.5,50.0,5550.0,4.476,0.911,planet_transit
11297236,K01857.01,CONFIRMED,88.6440015,7.82,625.5,2.51,57.6,5661.0,4.471,0.934,planet_transit
10074466,K01917.01,CONFIRMED,35.01190875,2.868,436.7,2.97,34.0,5872.0,4.332,1.153,planet_transit
8218379,K01920.01,CONFIRMED,16.57099265,2.9052,644.9,2.03,40.9,5483.0,4.589,0.779,planet_transit
7755636,K01921.01,CONFIRMED,16.00496657,6.5047,377.5,3.71,49.8,6384.0,4.029,1.904,planet_transit
9411166,K01922.01,CONFIRMED,1.954525966,2.0944,392.8,2.38,43.1,5741.0,4.331,1.136,planet_transit
4989057,K01923.01,CONFIRMED,7.23400381,2.165,453.3,1.78,34.3,5411.0,4.523,0.85,planet_transit
9834040,K01998.01,CONFIRMED,6.77408984,2.6215,520.3,2.5,33.6,6246.0,4.433,1.092,planet_transit
6152974,K00216.01,CONFIRMED,20.172024672,3.1488,5368.1,6.24,226.8,5064.0,4.474,0.864,planet_transit
8802693,K02000.01,CONFIRMED,26.41044199,3.0715,991.1,2.45,31.2,5448.0,4.613,0.734,planet_transit
6061773,K02001.01,CONFIRMED,8.27745764,2.713,197.2,2.46,17.3,5129.0,3.884,1.781,planet_transit
10024701,K02002.01,CONFIRMED,14.37504582,3.208,251.1,2.05,15.7,5931.0,4.403,1.053,planet_transit
3239671,K02066.01,CONFIRMED,147.97391,6.854,1267.1,3.33,26.4,5578.0,4.44,0.95,planet_transit
9304101,K02067.01,CONFIRMED,13.24503482,4.4078,156.1,1.77,35.7,5636.0,4.147,1.39,planet_transit
11360571,K02069.01,CONFIRMED,77.2550726,10.214,589.5,3.7,44.0,6564.0,4.255,1.356,planet_transit
6035124,K02071.01,CONFIRMED,3.85690686,2.0808,127.8,0.93,24.3,5272.0,4.574,0.813,planet_transit
8160953,K01858.01,CONFIRMED,116.3311739,7.025,1586.3,3.26,31.5,5354.0,4.533,0.835,planet_transit
4157325,K01860.01,CONFIRMED,6.31943553,3.3422,581.1,2.71,61.0,5670.0,4.397,1.022,planet_transit
4157325,K01860.02,CONFIRMED,12.20951755,4.1808,538.1,2.61,45.5,5670.0,4.397,1.022,planet_transit
4157325,K01860.03,CONFIRMED,3.07644709,2.6326,216.7,1.61,29.3,5670.0,4.397,1.022,planet_transit
5108214,K01924.01,FALSE POSITIVE,2.11913005,4.141,28.7,1.35,21.5,5799.0,3.813,2.377,false_positive
9955598,K01925.01,CONFIRMED,68.958447,3.128,123.3,1.11,30.0,5455.0,4.497,0.888,planet_transit
10723750,K00209.02,CONFIRMED,18.79591276,7.5235,2431.4,7.39,282.3,6163.0,4.185,1.406,planet_transit
5770074,K01928.01,CONFIRMED,63.0380366,7.3702,658.7,2.59,53.1,5798.0,4.411,1.019,planet_transit
10136549,K01929.01,CONFIRMED,9.69315023,5.6725,141.8,1.89,45.1,5683.0,4.108,1.472,planet_transit
9851271,K02003.01,FALSE POSITIVE,8.48031229,7.105,351.1,2.58,37.3,5910.0,4.364,1.078,false_positive
12154526,K02004.01,CONFIRMED,56.1886436,6.5272,346.2,2.56,35.6,5700.0,4.327,1.176,planet_transit
6665512,K02005.01,CONFIRMED,6.92101452,4.3591,529.7,1.48,39.9,4461.0,4.661,0.585,planet_transit
10525027,K02006.01,CONFIRMED,3.27344784,1.7292,262.5,0.81,34.0,3758.0,4.769,0.496,planet_transit
11069176,K02007.01,CONFIRMED,15.3789014,4.662,185.1,2.94,17.6,5817.0,3.877,2.153,planet_transit
10005758,K01783.01,CONFIRMED,134.4785189,5.9288,4033.5,10.52,149.9,5791.0,4.185,1.336,planet_transit
3128793,K01786.01,FALSE POSITIVE,24.68662378,15.168,8052.3,48.04,210.9,4648.0,2.996,5.132,false_positive
5864975,K01787.01,CONFIRMED,98.7179332,6.593,7320.0,6.99,124.4,5808.0,4.583,0.786,planet_transit
2975770,K01788.01,CONFIRMED,71.52543938,5.9189,5904.3,5.76,111.3,4855.0,4.542,0.778,planet_transit
7877496,K00202.01,CONFIRMED,1.72086129,2.0243,10184.5,13.25,1654.9,5742.0,4.297,1.215,planet_transit
7286173,K01862.01,CONFIRMED,56.4349933,4.7381,580.0,2.37,47.7,5534.0,4.381,1.001,planet_transit
11126381,K01863.01,CONFIRMED,33.7888028,5.496,649.2,2.71,36.0,6202.0,4.436,1.062,planet_transit
4149450,K01864.01,CONFIRMED,3.215109385,4.365,158.0,1.54,53.3,5541.0,4.472,0.934,planet_transit
10136549,K01929.02,CONFIRMED,3.29276797,4.8069,80.7,1.39,40.8,5683.0,4.108,1.472,planet_transit
5511081,K01930.01,CONFIRMED,13.72710334,7.3419,199.2,2.38,62.5,5951.0,4.017,1.693,planet_transit
5511081,K01930.02,CONFIRMED,24.3110031,8.7682,184.4,2.3,48.9,5951.0,4.017,1.693,planet_transit
5511081,K01930.03,CONFIRMED,44.4304059,10.306,238.5,2.61,50.5,5951.0,4.017,1.693,planet_transit
5511081,K01930.04,CONFIRMED,9.34145925,6.18,81.7,1.56,29.4,5951.0,4.017,1.693,planet_transit
10978763,K01931.01,CONFIRMED,4.97760447,2.5719,287.3,1.75,27.5,5353.0,4.358,1.023,planet_transit
11069176,K02007.02,CONFIRMED,21.1285655,3.852,176.7,2.88,12.5,5817.0,3.877,2.153,planet_transit
8098728,K02008.01,FALSE POSITIVE,24.4851178,4.642,263.8,7.14,10.9,6655.0,3.638,2.995,false_positive
6152974,K00216.02,CONFIRMED,7.51854537,2.845,286.7,1.42,19.4,5064.0,4.474,0.864,planet_transit
5631630,K02010.01,CONFIRMED,25.96190067,6.2732,350.3,3.25,37.5,6369.0,4.088,1.729,planet_transit
6504954,K01790.01,CONFIRMED,130.3543929,6.474,5128.7,7.7,103.7,5970.0,4.463,1.015,planet_transit
9410930,K00196.01,CONFIRMED,1.855557556,2.35672,10570.1,10.05,1853.8,5657.0,4.441,0.947,planet_transit
6153672,K01794.01,FALSE POSITIVE,3.364425589,1.3261,4843.0,56.83,32.0,5813.0,4.589,0.775,false_positive
10676014,K01797.01,CONFIRMED,16.78175788,3.7386,908.0,2.25,118.8,4925.0,4.588,0.742,planet_transit
9520838,K01866.01,CONFIRMED,105.3035093,6.214,1362.2,3.18,40.6,5534.0,4.515,0.875,planet_transit
8167996,K01867.01,CONFIRMED,2.549562652,1.6999,495.1,1.11,43.7,3716.0,4.74,0.506,planet_transit
8167996,K01867.02,CONFIRMED,13.96950181,1.5871,1110.0,2.04,37.0,3716.0,4.74,0.506,planet_transit
8167996,K01867.03,CONFIRMED,5.21230171,2.098,430.0,1.04,29.3,3716.0,4.74,0.506,planet_transit
6773862,K01868.01,CONFIRMED,17.76076524,1.6679,1287.2,1.93,42.6,3826.0,4.744,0.516,planet_transit
10978763,K01931.02,CONFIRMED,10.55840479,3.366,194.2,1.41,14.6,5353.0,4.358,1.023,planet_transit
10978763,K01931.03,CONFIRMED,6.98800953,3.103,193.2,1.39,17.1,5353.0,4.358,1.023,planet_transit
5202905,K01932.01,CONFIRMED,22.8245144,6.617,322.7,3.36,15.9,6642.0,4.057,1.846,planet_transit
9072190,K01933.01,CONFIRMED,49.1011093,6.341,845.6,3.28,39.7,5393.0,4.299,1.11,planet_transit
5384079,K02011.01,CONFIRMED,7.05675145,2.0261,130.0,1.68,25.2,6388.0,4.244,1.402,planet_transit
9839821,K02012.01,CONFIRMED,34.8536903,5.333,767.7,2.4,27.0,5818.0,4.554,0.848,planet_transit
4056616,K02013.01,CONFIRMED,2.41434868,1.2701,191.0,0.97,30.0,4507.0,4.573,0.724,planet_transit
6707908,K02014.01,FALSE POSITIVE,2.466070972,1.9559,704.5,24.3,42.6,5708.0,4.529,0.884,false_positive
8492026,K02016.01,CONFIRMED,4.30656389,4.1107,257.0,1.95,39.8,6108.0,4.466,1.03,planet_transit
6867766,K01798.01,FALSE POSITIVE,12.964717746,1.8303,3732.9,39.93,183.3,6210.0,4.45,1.033,false_positive
6058614,K01799.01,FALSE POSITIVE,1.731079436,1.8419,11974.0,56.05,36.2,6045.0,4.494,0.955,false_positive
11017901,K01800.01,CONFIRMED,7.794302043,1.1081,3387.4,16.51,159.2,5494.0,4.405,0.982,planet_transit
5088591,K01801.01,CONFIRMED,14.5324483,3.13,1355.9,3.11,16.5,5345.0,4.473,0.86,planet_transit
11298298,K01802.01,CONFIRMED,5.248667607,1.917,601.2,2.84,59.5,5807.0,4.437,1.012,planet_transit
10187159,K01870.01,CONFIRMED,7.96431492,1.5342,746.0,2.44,44.3,5185.0,4.44,0.91,planet_transit
9758089,K01871.01,CONFIRMED,92.7297248,6.83,1257.5,2.81,43.3,4580.0,4.641,0.675,planet_transit
10619192,K00203.01,CONFIRMED,1.485710994,2.2874,20823.9,14.48,1176.6,5624.0,4.432,1.018,planet_transit
4939346,K01873.01,CONFIRMED,71.3116598,8.813,2138.0,4.94,43.4,6194.0,4.445,1.069,planet_transit
5396122,K01935.01,FALSE POSITIVE,15.44428875,2.0791,3596.2,37.58,44.9,5895.0,4.489,0.991,false_positive
10190777,K01937.01,CONFIRMED,1.411230023,1.4325,388.2,1.71,89.3,4575.0,4.564,0.737,planet_transit
9651234,K01938.01,CONFIRMED,96.9151707,6.065,862.8,2.37,53.4,5162.0,4.559,0.791,planet_transit
7045496,K01939.01,CONFIRMED,13.47472742,2.5995,729.6,1.96,25.3,5395.0,4.615,0.734,planet_transit
8750043,K02017.01,CONFIRMED,2.29503515,1.654,172.1,1.18,11.6,5637.0,4.482,0.909,planet_transit
9973109,K02018.01,CONFIRMED,27.495634,4.858,483.3,2.11,24.7,5657.0,4.401,0.911,planet_transit
6226290,K02019.01,CONFIRMED,14.08826442,4.1847,889.4,2.66,34.2,5853.0,4.529,0.895,planet_transit
9595827,K00217.01,CONFIRMED,3.905081685,2.8213,21340.5,12.78,1315.8,5543.0,4.54,0.887,planet_transit
9349482,K02020.01,CONFIRMED,110.9643706,12.831,1283.2,2.11,42.1,4441.0,4.695,0.546,planet_transit
4644952,K01805.01,CONFIRMED,6.94135824,1.8899,825.0,2.96,43.1,5527.0,4.491,0.88,planet_transit
2987027,K00197.01,CONFIRMED,17.276296682,3.94738,10458.0,7.31,871.4,4941.0,4.599,0.738,planet_transit
4644952,K01805.02,CONFIRMED,31.7821117,3.856,570.2,2.08,21.6,5527.0,4.491,0.88,planet_transit
